,Hour,Day,Month,Electricity [MWh],PV [MWh],Price,Peak,CO2
30,6,2,January,0.0736404014402901,0.0,0.2324,Peak,334.5259504653731
31,7,2,January,0.08188650681522716,0.0,0.2324,Peak,366.02618709575637
32,8,2,January,0.10475046195860484,0.0,0.2324,Peak,380.62785928379867
33,9,2,January,0.08094402641862126,0.017706645064960506,0.2324,Peak,382.10443287584786
34,10,2,January,0.07576839756573123,0.0011445202836163175,0.2324,Peak,376.69032970500086
35,11,2,January,0.07847331152070341,0.0,0.2324,Peak,375.5418835778514
36,12,2,January,0.10187383915616027,0.0,0.2324,Peak,377.18252090235046
37,13,2,January,0.07397331716147977,0.0,0.2324,Peak,372.424672661303
38,14,2,January,0.07342703912413638,0.0,0.2324,Peak,377.18252090235046
39,15,2,January,0.06660463754573011,0.0,0.2324,Peak,388.0107272440448
40,16,2,January,0.06364883955256638,0.0,0.2324,Peak,403.9249092916864
41,17,2,January,0.06379744137184606,0.0,0.2324,Peak,425.9094494399748
42,18,2,January,0.0985407549253397,0.0,0.2324,Peak,448.2221170531629
43,19,2,January,0.13440234885700095,0.0,0.2324,Peak,460.8550244518063
44,20,2,January,0.06683982426777346,0.0,0.2324,Peak,463.3159804385549
45,21,2,January,0.05805813465903448,0.0,0.2324,Peak,458.23000473260765
46,22,2,January,0.04628579442902324,0.0,0.2324,Peak,450.19088184256185
47,23,2,January,0.0357852122146423,0.0,0.2187,Off-Peak,427.22195929957405
48,0,3,January,0.032520907414203194,0.0,0.2187,Off-Peak,396.54204133144026
49,1,3,January,0.029214940200214326,0.0,0.2187,Off-Peak,363.40116737655785
